_id,status,attendanceStatus,source,approved,proxy,employeeId,deviceTime,pictureUrl,location.lat,location.lon,markedBy,inUniform,projectId,createdAt,updatedAt
658bc19c5081b962da18dc2a,1,Present,App,false,false,658bc1705081b962da1682fa,2023-12-08T03:05:56.992Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-6489a2e9ffd973635c19d123-1702004755494.jpg,25.394864,81.8644005,658bc1705081b962da1682fa,false,658a84e74d398e0e7bc35b78,2023-12-08T03:05:57.125Z,2023-12-08T03:05:57.125Z
658bc19c5081b962da18dc2c,1,Present,App,false,false,658bc1705081b962da16830a,2023-12-08T03:06:02.521Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-648f059f454c82439659a7d9-1702004760928.jpg,25.4195833,81.8263667,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:06:02.930Z,2023-12-08T03:06:02.930Z
658bc19c5081b962da18dc2e,1,Present,App,false,false,658bc1705081b962da167ffa,2023-12-08T03:06:24.040Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce55f-1702004781600.jpg,,,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:06:24.448Z,2023-12-08T03:06:24.448Z
658bc19c5081b962da18dc30,1,Present,App,false,false,658bc1705081b962da16802e,2023-12-08T03:08:41.544Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce579-1702004919194.jpg,25.423342,81.8280395,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:08:41.958Z,2023-12-08T03:08:41.958Z
658bc19c5081b962da18dc32,1,Present,App,false,false,658bc1705081b962da167ffc,2023-12-08T03:11:39.835Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce560-1702005097928.jpg,25.4233343,81.8280349,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:11:40.264Z,2023-12-08T03:11:40.264Z
658bc19c5081b962da18dc34,1,Present,App,false,false,658bc1705081b962da16824e,2023-12-08T03:14:13.414Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-644270225b1fe6060405d97e-1702005251851.jpg,25.4186883,81.819965,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T03:14:13.693Z,2023-12-08T03:14:13.693Z
658bc19c5081b962da18dc36,1,Present,App,false,false,658bc1705081b962da16848a,2023-12-08T01:32:00.042Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-65320ca39af390431c38345f-1701999117672.jpg,25.4331812,81.8367293,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:32:06.588Z,2023-12-08T03:32:06.588Z
658bc19c5081b962da18dc38,1,Present,App,false,false,658bc1705081b962da168426,2023-12-08T01:34:17.400Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-651161352f10e5053a3ecc81-1701999255475.jpg,25.4335835,81.8390132,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:34:23.925Z,2023-12-08T03:34:23.925Z
658bc19c5081b962da18dc3a,1,Present,App,false,false,658bc1705081b962da16816e,2023-12-08T03:41:52.756Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce80b-1702006911100.jpg,25.4186492,81.8201015,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T03:41:53.036Z,2023-12-08T03:41:53.036Z
658bc19c5081b962da18dc3c,1,Present,App,false,false,658bc1705081b962da1681a8,2023-12-08T03:44:25.198Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-641427d3becbfe256b8ec8f3-1702007063551.jpg,25.433704,81.8393584,658bc1705081b962da168136,false,658a84e74d398e0e7bc35b78,2023-12-08T03:44:25.360Z,2023-12-08T03:44:25.360Z
658bc19c5081b962da18dc3e,1,Present,App,false,false,658bc1705081b962da167f54,2023-12-08T04:03:38.623Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce50c-1702008216805.jpg,25.452681,81.7709777,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:03:35.434Z,2023-12-08T04:03:35.434Z
658bc19c5081b962da18dc40,1,Present,App,false,false,658bc1705081b962da16816a,2023-12-08T04:04:05.860Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce809-1702008243862.jpg,25.4527281,81.7708817,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:04:02.603Z,2023-12-08T04:04:02.603Z
658bc19c5081b962da18dc42,1,Present,App,false,false,658bc1705081b962da167f44,2023-12-08T04:05:56.590Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce504-1702008355034.jpg,25.4210928,81.8078981,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:05:57.213Z,2023-12-08T04:05:57.213Z
658bc19c5081b962da18dc44,1,Present,App,false,false,658bc1705081b962da168158,2023-12-08T04:15:31.545Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce800-1702008928965.jpg,25.4214211,81.8105081,658bc1705081b962da168120,,658a84e74d398e0e7bc35b78,2023-12-08T04:15:31.904Z,2023-12-08T04:15:31.904Z
658bc19c5081b962da18dc46,1,Present,App,false,false,658bc1705081b962da168160,2023-12-08T04:16:10.049Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce804-1702008968376.jpg,25.4377006,81.8196679,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:16:10.315Z,2023-12-08T04:16:10.315Z
658bc19c5081b962da18dc48,1,Present,App,false,false,658bc1705081b962da16814c,2023-12-08T04:18:49.842Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce7fa-1702009126945.jpg,25.4214406,81.8105346,658bc1705081b962da168120,,658a84e74d398e0e7bc35b78,2023-12-08T04:18:50.226Z,2023-12-08T04:18:50.226Z
658bc19c5081b962da18dc4a,1,Present,App,false,false,658bc1705081b962da168152,2023-12-08T04:19:20.581Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce7fd-1702009158071.jpg,25.4213459,81.8105276,658bc1705081b962da168120,,658a84e74d398e0e7bc35b78,2023-12-08T04:19:20.967Z,2023-12-08T04:19:20.967Z
658bc19c5081b962da18dc4c,1,Present,App,false,false,658bc1705081b962da167f42,2023-12-08T04:20:26.503Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a18959e93d52641ce503-1702009224338.jpg,25.4527361,81.7710291,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:20:23.100Z,2023-12-08T04:20:23.100Z
658bc19c5081b962da18dc4e,1,Present,App,false,false,658bc1705081b962da16815c,2023-12-08T04:22:05.462Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-63f8a33059e93d52641ce802-1702009323620.jpg,25.4408272,81.8179713,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:22:05.737Z,2023-12-08T04:22:05.737Z
658bc19c5081b962da18dc50,1,Present,App,false,false,658bc1705081b962da1684d8,2023-12-08T04:28:50.762Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-65615b81af824a5a9a697862-1702009728878.jpg,25.42769,81.8074967,658bc1705081b962da16812a,false,658a84e74d398e0e7bc35b78,2023-12-08T04:28:51.535Z,2023-12-08T04:28:51.535Z
658bc19c5081b962da18dc52,1,Present,App,false,false,658bc1705081b962da168256,2023-12-08T04:33:52.100Z,https://mysql-backup-base.s3.us-east-2.amazonaws.com/63ce275d746713152acf84b3/undefined/att-6443803ad81cc33d8e81a0fa-1702010030495.jpg,25.4410619,81.8150432,658bc1705081b962da16811e,false,658a84e74d398e0e7bc35b78,2023-12-08T04:33:52.342Z,2023-12-08T04:33:52.342Z
